Location,Date,Time,VehicleCount,PM2.5,PM10,NO2,Temperature,Humidity
Park Ave,2025-01-17,23:36:00,446,94.24,86.07,8.48,30.34,36.79
Main St,2025-01-18,04:04:00,310,117.81,154.03,79.04,34.02,38.08
5th Ave,2025-01-19,13:03:00,152,120.55,49.79,68.43,23.44,56.95
Broadway,2025-01-12,10:24:00,443,31.58,98.86,8.11,17.31,49.58
Main St,2025-01-08,23:59:00,396,78.8,72.81,51.51,20.32,51.65
5th Ave,2025-01-17,03:12:00,80,105.34,100.52,83.16,36.75,24.77
Elm St,2025-01-14,13:05:00,12,19.26,105.6,75.16,18.92,60.33
Park Ave,2025-01-27,14:34:00,359,22.58,189.62,45.32,32.87,28.41
Broadway,2025-01-24,07:19:00,139,107.3,58.6,58.64,22.38,52.4
Broadway,2025-01-08,16:33:00,105,106.83,29.64,92.83,36.41,62.96
Broadway,2025-01-26,17:29:00,298,90.16,160.28,60.45,34.54,30.9
Elm St,2025-01-30,07:28:00,357,26.0,118.81,54.87,31.19,53.91
5th Ave,2025-01-22,11:36:00,427,126.68,121.95,96.23,19.69,69.95
Elm St,2025-01-18,11:30:00,36,131.04,172.53,53.96,21.94,51.65
5th Ave,2025-01-28,12:26:00,279,59.68,191.56,41.18,36.81,52.43
Main St,2025-01-07,05:24:00,316,140.42,47.47,72.83,16.19,76.87
Broadway,2025-01-24,03:05:00,413,88.46,143.42,25.17,17.81,69.84
Elm St,2025-01-16,23:32:00,353,135.16,80.08,51.6,21.66,63.72
Park Ave,2025-01-25,18:15:00,36,36.71,177.37,76.81,21.19,71.04
Park Ave,2025-01-11,20:42:00,276,8.05,98.67,32.38,38.78,56.22
Elm St,2025-01-12,18:45:00,418,9.89,113.54,73.49,22.17,74.7
Main St,2025-01-04,11:51:00,367,64.26,112.23,27.88,25.28,56.64
Broadway,2025-01-17,13:27:00,79,134.93,175.46,6.1,24.18,74.65
5th Ave,2025-01-04,07:34:00,185,76.45,66.38,87.22,29.56,39.17
Elm St,2025-01-06,17:46:00,145,101.31,71.4,10.86,17.1,33.32
Broadway,2025-01-16,16:46:00,160,22.44,105.1,91.85,34.87,79.14
Broadway,2025-01-04,12:48:00,119,108.07,106.74,17.68,37.53,50.81
Broadway,2025-01-08,16:47:00,494,26.58,55.7,78.42,25.5,64.45
Elm St,2025-01-29,01:20:00,331,62.31,177.0,48.07,24.38,24.98
Broadway,2025-01-30,18:00:00,395,8.56,112.85,40.46,21.37,40.59
Park Ave,2025-01-18,23:18:00,249,126.6,39.61,21.53,18.21,37.98
Main St,2025-01-19,07:54:00,176,69.56,46.93,67.25,39.09,28.15
Elm St,2025-01-11,15:11:00,382,145.41,49.01,70.62,34.24,28.94
Park Ave,2025-01-25,23:32:00,400,65.93,10.28,99.67,33.78,67.92
Main St,2025-01-03,22:20:00,423,33.45,95.65,29.74,17.23,30.75
Elm St,2025-01-30,12:48:00,335,40.27,102.98,34.66,18.82,79.93
Broadway,2025-01-02,15:42:00,309,29.8,51.85,9.43,30.36,30.0
5th Ave,2025-01-10,22:09:00,473,119.91,176.57,5.98,22.99,65.47
5th Ave,2025-01-20,01:16:00,340,83.21,106.79,45.51,17.12,23.54
Elm St,2025-01-06,07:28:00,159,105.87,84.14,80.75,19.51,67.66
Elm St,2025-01-18,14:11:00,332,129.48,184.3,23.61,20.36,36.32
Elm St,2025-01-04,16:33:00,95,65.12,182.41,81.14,27.5,65.77
Elm St,2025-01-06,13:01:00,345,37.39,193.31,99.8,34.58,31.66
Elm St,2025-01-08,03:16:00,398,46.59,74.79,20.82,35.3,75.05
Main St,2025-01-22,00:40:00,216,114.65,155.43,20.9,34.32,42.13
5th Ave,2025-01-07,04:43:00,65,128.01,122.35,21.69,36.98,37.03
Main St,2025-01-20,21:26:00,324,135.0,36.63,8.48,27.99,77.06
5th Ave,2025-01-06,05:31:00,350,8.49,91.05,63.28,36.73,26.81
Main St,2025-01-11,23:12:00,178,136.93,138.26,37.79,17.37,61.22
5th Ave,2025-01-07,08:09:00,25,47.94,135.82,77.72,33.94,44.51
5th Ave,2025-01-29,10:30:00,179,81.62,76.37,43.84,36.92,56.39
Main St,2025-01-11,12:13:00,495,112.36,179.49,28.87,38.67,55.6
Main St,2025-01-14,21:54:00,172,32.83,120.82,86.65,39.01,76.66
Main St,2025-01-04,05:48:00,186,84.87,169.62,38.26,18.68,58.57
Elm St,2025-01-03,19:23:00,460,49.61,54.66,84.41,26.27,73.14
5th Ave,2025-01-25,17:42:00,332,110.64,191.26,72.23,19.56,44.89
Main St,2025-01-02,19:10:00,40,15.26,104.81,8.14,22.99,31.3
5th Ave,2025-01-06,23:06:00,236,36.79,146.12,50.37,25.02,77.5
Main St,2025-01-16,02:16:00,25,143.1,108.93,33.7,27.45,36.84
Park Ave,2025-01-28,10:50:00,379,54.52,18.75,86.76,34.68,46.32
Elm St,2025-01-08,00:22:00,277,29.12,164.88,82.71,20.15,52.55
Broadway,2025-01-17,18:26:00,55,79.06,186.25,36.03,26.96,76.39
Broadway,2025-01-02,22:33:00,338,140.64,46.25,40.69,22.96,73.95
Main St,2025-01-01,13:14:00,177,58.17,38.22,40.64,32.65,39.64
Broadway,2025-01-06,05:00:00,403,98.01,89.81,69.02,25.38,60.9
5th Ave,2025-01-25,12:13:00,460,22.33,20.59,47.31,27.05,74.9
Main St,2025-01-12,14:40:00,70,121.9,97.13,25.53,26.07,71.97
Park Ave,2025-01-20,05:19:00,484,131.38,97.9,92.88,32.0,46.02
5th Ave,2025-01-17,19:00:00,44,106.34,108.98,47.67,28.82,64.52
Park Ave,2025-01-18,14:43:00,269,84.22,45.4,16.0,22.71,65.02
Park Ave,2025-01-14,10:35:00,31,62.9,80.25,79.3,26.09,44.78
Main St,2025-01-08,23:27:00,140,71.19,118.41,99.94,39.97,45.24
5th Ave,2025-01-13,15:00:00,336,105.52,15.94,20.49,19.06,70.99
5th Ave,2025-01-13,17:42:00,265,93.17,99.34,85.63,20.45,55.24
5th Ave,2025-01-17,05:32:00,35,73.59,140.95,98.13,15.76,67.46
Elm St,2025-01-01,13:46:00,338,71.52,183.09,45.19,23.97,59.51
Elm St,2025-01-16,09:42:00,384,101.74,59.6,58.43,23.63,44.47
Park Ave,2025-01-15,11:30:00,273,16.12,58.5,61.75,19.84,53.23
Main St,2025-01-12,21:59:00,495,83.33,147.04,81.66,25.58,24.51
Park Ave,2025-01-02,22:31:00,59,109.12,51.36,5.22,35.51,28.88
Elm St,2025-01-08,15:40:00,120,56.66,95.79,24.18,25.66,70.41
5th Ave,2025-01-23,16:13:00,427,107.24,107.71,22.23,38.17,46.58
Main St,2025-01-17,23:53:00,282,46.35,84.79,21.47,19.1,30.84
